iter	Passed	Remaining
0	304	303970
1	525	262019
2	733	243831
3	950	236728
4	1193	237535
5	1399	231879
6	1538	218317
7	1671	207249
8	1799	198146
9	1971	195169
10	2087	187681
11	2212	182167
12	2333	177196
13	2501	176178
14	2620	172071
15	2719	167263
16	2884	166764
17	3027	165147
18	3209	165714
19	3318	162614
20	3448	160782
21	3666	162975
22	3902	165767
23	4214	171388
24	4426	172621
25	4664	174732
26	4783	172373
27	4867	168964
28	4982	166813
29	5041	163012
30	5114	159876
31	5210	157607
32	5292	155086
33	5434	154396
34	5737	158190
35	5986	160295
36	6125	159424
37	6231	157750
38	6412	157999
39	6524	156588
40	6709	156926
41	6812	155381
42	7016	156155
43	7146	155278
44	7308	155110
45	7646	158578
46	7770	157565
47	7952	157726
48	8106	157326
49	8322	158127
50	8457	157383
51	8571	156265
52	8707	155592
53	8882	155609
54	8999	154630
55	9182	154797
56	9371	155033
57	9590	155759
58	9745	155438
59	9931	155593
60	10058	154834
61	10158	153694
62	10335	153723
63	10491	153441
64	10696	153859
65	10831	153286
66	10965	152703
67	11078	151847
68	11178	150829
69	11368	151034
70	11548	151104
71	11715	151005
72	11803	149890
73	12242	153196
74	12382	152714
75	12549	152577
76	12707	152328
77	12860	152018
78	12955	151034
79	13255	152437
80	13465	152772
81	13648	152792
82	13853	153058
83	14409	157129
84	14807	159398
85	14979	159201
86	15147	158963
87	15308	158647
88	15651	160207
89	16096	162758
90	16581	165632
91	16751	165327
92	16975	165555
93	17121	165022
94	17345	165239
95	17496	164759
96	17633	164156
97	17949	165209
98	18618	169446
99	19008	171078
100	19555	174060
101	19761	173981
102	19980	174006
103	20128	173413
104	20249	172599
105	20519	173058
106	20836	173901
107	20983	173305
108	21100	172481
109	21201	171537
110	21298	170579
111	21407	169728
112	21483	168639
113	21557	167540
114	21668	166752
115	21740	165676
116	21814	164635
117	21868	163454
118	21946	162474
119	22001	161344
120	22063	160276
121	22119	159189
122	22283	158879
123	22371	158045
124	22449	157143
125	22573	156578
126	22673	155859
127	22813	155416
128	22958	155015
129	23148	154918
130	23314	154661
131	23515	154633
132	23657	154216
133	23841	154079
134	24106	154460
135	24397	154996
136	24692	155545
137	24756	154638
138	24822	153755
139	24880	152835
140	24974	152149
141	25016	151155
142	25073	150262
143	25111	149274
144	25149	148295
145	25217	147506
146	25257	146560
147	25308	145696
148	25353	144806
149	25394	143904
150	25455	143123
151	25504	142287
152	25543	141409
153	25586	140561
154	25625	139698
155	25662	138839
156	25728	138145
157	25768	137322
158	25810	136518
159	25852	135723
160	25892	134929
161	25943	134203
162	26006	133544
163	26048	132786
164	26089	132026
165	26136	131311
166	26203	130701
167	26243	129967
168	26291	129280
169	26338	128592
170	26380	127891
171	26433	127250
172	26479	126582
173	26518	125888
174	26565	125235
